Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,GDP(billion euros),GDP per capita,Tourist_rank,Safty_Rank,Season,Tourism_Suitable_Percentage,Weather_Rank,Recommendation_Score,Avg_Rank,T1,S2,W3
Paris,Île-de-France,France,City,48.856614,2.352222,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160,93936,1,3,Autumn,0.571428571,7,22,0.238333333,0,0.5,0.222222222
Paris,Île-de-France,France,City,48.856614,2.352222,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160,93936,1,3,Spring,0.49365942,9,20,0.262777778,0,0.5,0.296296296
Paris,Île-de-France,France,City,48.856614,2.352222,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160,93936,1,3,Summer,0.457880435,12,17,0.299444444,0,0.5,0.407407407
Paris,Île-de-France,France,City,48.856614,2.352222,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160,93936,1,3,Winter,0.90462963,7,22,0.238333333,0,0.5,0.222222222
London,Greater London,United Kingdom,City,51.507351,-0.127758,25000000,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",562.2,63407,2,3,Autumn,0.47481685,15,14,0.347490422,0.034482759,0.5,0.518518519
London,Greater London,United Kingdom,City,51.507351,-0.127758,25000000,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",562.2,63407,2,3,Spring,0.341485507,18,11,0.384157088,0.034482759,0.5,0.62962963
London,Greater London,United Kingdom,City,51.507351,-0.127758,25000000,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",562.2,63407,2,3,Summer,0.145380435,25,4,0.469712644,0.034482759,0.5,0.888888889
London,Greater London,United Kingdom,City,51.507351,-0.127758,25000000,British Pound Sterling (GBP),Christian (Anglican),"Fish and chips, Sunday roast, Afternoon tea",English,Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",562.2,63407,2,3,Winter,0.934259259,5,24,0.225268199,0.034482759,0.5,0.148148148
Istanbul,Istanbul,Turkey,City,41.008238,28.978359,15000000,Turkish lira (TRY),Muslim,"Kebab, Baklava, Dolma",Turkish,Spring (Apr-May) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of pickpockets",Historic city straddling Europe and Asia with significant landmarks.,"A historic city straddling Europe and Asia, known for its Hagia Sophia, Blue Mosque, and Grand Bazaar.",77.07546,10063.34,3,3,,,2,,0.199980843,0.068965517,0.5,0.037037037
Rome,Lazio,Italy,City,41.902782,12.496366,14000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",200.84,33200,4,3,Autumn,0.630494505,2,27,0.211360153,0.103448276,0.5,0.037037037
Rome,Lazio,Italy,City,41.902782,12.496366,14000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",200.84,33200,4,3,Spring,0.666666667,4,25,0.235804598,0.103448276,0.5,0.111111111
Rome,Lazio,Italy,City,41.902782,12.496366,14000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",200.84,33200,4,3,Summer,0.745923913,1,28,0.199137931,0.103448276,0.5,0
Rome,Lazio,Italy,City,41.902782,12.496366,14000000,Euro,Roman Catholic,"Pizza, Pasta, Gelato",Italian,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",200.84,33200,4,3,Winter,0.983333333,2,27,0.211360153,0.103448276,0.5,0.037037037
Berlin,Berlin,Germany,City,52.520008,13.404954,13500000,Euro,Protestant,"Currywurst, Bratwurst, Sauerkraut",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch for pickpockets","The capital city known for its historical landmarks, vibrant nightlife, and arts scene.","Famous for the Brandenburg Gate, Berlin Wall, and rich cultural heritage.",165.457,45074,5,3,Autumn,0.475274725,4,15,0.247183908,0.137931034,0.5,0.111111111
Berlin,Berlin,Germany,City,52.520008,13.404954,13500000,Euro,Protestant,"Currywurst, Bratwurst, Sauerkraut",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch for pickpockets","The capital city known for its historical landmarks, vibrant nightlife, and arts scene.","Famous for the Brandenburg Gate, Berlin Wall, and rich cultural heritage.",165.457,45074,5,3,Spring,0.381793478,15,14,0.381628352,0.137931034,0.5,0.518518519
Berlin,Berlin,Germany,City,52.520008,13.404954,13500000,Euro,Protestant,"Currywurst, Bratwurst, Sauerkraut",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch for pickpockets","The capital city known for its historical landmarks, vibrant nightlife, and arts scene.","Famous for the Brandenburg Gate, Berlin Wall, and rich cultural heritage.",165.457,45074,5,3,Summer,0.441123188,13,16,0.357183908,0.137931034,0.5,0.444444444
Berlin,Berlin,Germany,City,52.520008,13.404954,13500000,Euro,Protestant,"Currywurst, Bratwurst, Sauerkraut",German,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch for pickpockets","The capital city known for its historical landmarks, vibrant nightlife, and arts scene.","Famous for the Brandenburg Gate, Berlin Wall, and rich cultural heritage.",165.457,45074,5,3,Winter,0.706481481,12,17,0.344961686,0.137931034,0.5,0.407407407
Barcelona,Catalonia,Spain,City,41.385064,2.173135,12700000,Euro,Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",255.2,23757,6,3,Autumn,0.597527473,3,26,0.246340996,0.172413793,0.5,0.074074074
Barcelona,Catalonia,Spain,City,41.385064,2.173135,12700000,Euro,Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",255.2,23757,6,3,Spring,0.744112319,3,26,0.246340996,0.172413793,0.5,0.074074074
Barcelona,Catalonia,Spain,City,41.385064,2.173135,12700000,Euro,Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",255.2,23757,6,3,Summer,0.636775362,4,25,0.258563218,0.172413793,0.5,0.111111111
Barcelona,Catalonia,Spain,City,41.385064,2.173135,12700000,Euro,Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",255.2,23757,6,3,Winter,0.951851852,4,25,0.258563218,0.172413793,0.5,0.111111111
Moscow,Moscow Oblast,Russia,City,55.755796,37.617315,12500000,Russian Ruble (RUB),Russian Orthodox,"Borscht, Pelmeni, Blini",Russian,Spring (May-June) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Capital city known for the Kremlin, Red Square, and St. Basil's Cathedral.",Russia's bustling capital with a rich history and impressive landmarks.,,,7,3,,,5,,0.282164751,0.206896552,0.5,0.148148148
