Destination,Region,Country,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,GDP(billion euros),GDP per capita,Tourist_rank,Safty_Rank,Season,Tourism_Suitable_Percentage,Weather_Rank,Recommendation_Score,Avg_Rank,T1,S2,W3
Paris,Île-de-France,France,City,48.856614,2.3522220000000003,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160.0,93936.0,1,3,Autumn,0.571428571,7,22.0,0.238333333,0.0,0.5,0.222222222
Paris,Île-de-France,France,City,48.856614,2.3522220000000003,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160.0,93936.0,1,3,Spring,0.49365942,9,20.0,0.262777778,0.0,0.5,0.296296296
Paris,Île-de-France,France,City,48.856614,2.3522220000000003,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160.0,93936.0,1,3,Summer,0.457880435,12,17.0,0.299444444,0.0,0.5,0.40740740700000005
Paris,Île-de-France,France,City,48.856614,2.3522220000000003,35000000,Euro,Roman Catholic,"Croissants, Baguettes, Cheese",French,Spring (April-May) or Fall (Sept-Oct),High,"Generally safe, but watch out for pickpockets","Home to iconic landmarks like the Eiffel Tower, Louvre Museum, and Notre-Dame Cathedral.","A city of art, fashion, and culture, featuring world-famous landmarks and museums.",1160.0,93936.0,1,3,Winter,0.90462963,7,22.0,0.238333333,0.0,0.5,0.222222222
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122.0,9,1,Autumn,0.571428571,7,22.0,0.164367816,0.275862069,0.0,0.222222222
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122.0,9,1,Spring,0.49365942,9,20.0,0.188812261,0.275862069,0.0,0.296296296
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122.0,9,1,Summer,0.457880435,12,17.0,0.225478927,0.275862069,0.0,0.40740740700000005
Loire Valley,Centre-Val de Loire,France,Region,47.6268,-0.9361,10000000,Euro,Roman Catholic,"Croque-monsieur, French onion soup",French,Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A region known for its stunning chateaux, vineyards, and picturesque landscapes.","Known for its many châteaux and vineyards, a scenic getaway filled with history and beauty.",118.65,46122.0,9,1,Winter,0.90462963,7,22.0,0.164367816,0.275862069,0.0,0.222222222
Nice,Provence-Alpes-Côte d'Azur,France,Coastal City,43.703761,7.268731,4000000,Euro,Roman Catholic,"Niçoise salad, Socca, Panisses",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Known for its beaches, Mediterranean climate, and vibrant nightlife.",A coastal gem with a beautiful Promenade des Anglais and stunning views of the French Riviera.,,,14,3,Autumn,0.571428571,7,22.0,0.38626436799999997,0.448275862,0.5,0.222222222
Nice,Provence-Alpes-Côte d'Azur,France,Coastal City,43.703761,7.268731,4000000,Euro,Roman Catholic,"Niçoise salad, Socca, Panisses",French,Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","Known for its beaches, Mediterranean climate, and vibrant nightlife.",A coastal gem with a beautiful Promenade des Anglais and stunning views of the French Riviera.,,,14,3,Spring,0.49365942,9,20.0,0.41070881200000003,0.448275862,0.5,0.296296296
