Country,Season,Tourism_Suitable_Percentage,Rank,Recommendation_Score
Austria,Autumn,0.3901098901098901,22.0,7.0
Austria,Spring,0.31521739130434784,21.0,8.0
Austria,Summer,0.4375,14.0,15.0
Austria,Winter,0.42824074074074076,23.0,6.0
Belgium,Autumn,0.5297619047619048,9.0,20.0
Belgium,Spring,0.4365942028985507,10.0,19.0
Belgium,Summer,0.3813405797101449,17.0,12.0
Belgium,Winter,0.8467592592592592,10.0,19.0
Bulgaria,Autumn,0.5544871794871795,8.0,21.0
Bulgaria,Spring,0.5394021739130435,7.0,22.0
Bulgaria,Summer,0.5407608695652174,7.0,22.0
Bulgaria,Winter,0.6314814814814815,14.0,15.0
Croatia,Autumn,0.5737179487179487,6.0,23.0
Croatia,Spring,0.5679347826086957,6.0,23.0
Croatia,Summer,0.6526268115942029,3.0,26.0
Croatia,Winter,0.7291666666666666,11.0,18.0
Czech,Autumn,0.4139194139194139,20.0,9.0
Czech,Spring,0.3605072463768116,16.0,13.0
Czech,Summer,0.485054347826087,11.0,18.0
Czech,Winter,0.47175925925925927,19.0,10.0
Denmark,Autumn,0.5187728937728938,10.0,19.0
Denmark,Spring,0.28804347826086957,23.0,6.0
Denmark,Summer,0.2033514492753623,22.0,7.0
Denmark,Winter,0.8805555555555555,9.0,20.0
Estonia,Autumn,0.29532967032967034,25.0,4.0
Estonia,Spring,0.223731884057971,25.0,4.0
Estonia,Summer,0.19429347826086957,23.0,6.0
Estonia,Winter,0.43425925925925923,22.0,7.0
Finland,Autumn,0.1575091575091575,27.0,2.0
Finland,Spring,0.18568840579710144,27.0,2.0
Finland,Summer,0.12318840579710146,26.0,3.0
Finland,Winter,0.18796296296296297,28.0,1.0
France,Autumn,0.5714285714285714,7.0,22.0
France,Spring,0.4936594202898551,9.0,20.0
France,Summer,0.4578804347826087,12.0,17.0
France,Winter,0.9046296296296297,7.0,22.0
Germany,Autumn,0.47527472527472525,14.0,15.0
Germany,Spring,0.38179347826086957,15.0,14.0
Germany,Summer,0.4411231884057971,13.0,16.0
Germany,Winter,0.7064814814814815,12.0,17.0
Great Britain,Autumn,0.4748168498168498,15.0,14.0
Great Britain,Spring,0.34148550724637683,18.0,11.0
Great Britain,Summer,0.1453804347826087,25.0,4.0
Great Britain,Winter,0.9342592592592592,5.0,24.0
Greece,Autumn,0.5787545787545788,5.0,24.0
Greece,Spring,0.7939311594202898,2.0,27.0
Greece,Summer,0.7305253623188406,2.0,27.0
Greece,Winter,0.9708333333333333,3.0,26.0
Hungary,Autumn,0.4835164835164835,12.0,17.0
Hungary,Spring,0.5865036231884058,5.0,24.0
Hungary,Summer,0.5946557971014492,5.0,24.0
Hungary,Winter,0.5347222222222222,16.0,13.0
Ireland,Autumn,0.4706959706959707,16.0,13.0
Ireland,Spring,0.33061594202898553,20.0,9.0
Ireland,Summer,0.018115942028985508,28.0,1.0
Ireland,Winter,0.9939814814814815,1.0,28.0
Italy,Autumn,0.6304945054945055,2.0,27.0
Italy,Spring,0.6666666666666666,4.0,25.0
Italy,Summer,0.7459239130434783,1.0,28.0
Italy,Winter,0.9833333333333333,2.0,27.0
Latvia,Autumn,0.3498168498168498,24.0,5.0
Latvia,Spring,0.3029891304347826,22.0,7.0
Latvia,Summer,0.2817028985507246,21.0,8.0
Latvia,Winter,0.4212962962962963,24.0,5.0
Lithuania,Autumn,0.35210622710622713,23.0,6.0
Lithuania,Spring,0.3319746376811594,19.0,10.0
Lithuania,Summer,0.3179347826086957,20.0,9.0
Lithuania,Winter,0.41712962962962963,25.0,4.0
Luxembourg,Autumn,0.44963369963369965,17.0,12.0
Luxembourg,Spring,0.3541666666666667,17.0,12.0
Luxembourg,Summer,0.40307971014492755,16.0,13.0
Luxembourg,Winter,0.6800925925925926,13.0,16.0
Netherlands,Autumn,0.5833333333333334,4.0,25.0
Netherlands,Spring,0.43432971014492755,11.0,18.0
Netherlands,Summer,0.3546195652173913,18.0,11.0
Netherlands,Winter,0.8842592592592593,8.0,21.0
Norway,Autumn,0.12545787545787546,28.0,1.0
Norway,Spring,0.1480978260869565,28.0,1.0
Norway,Summer,0.04664855072463768,27.0,2.0
Norway,Winter,0.2800925925925926,27.0,2.0
Poland,Autumn,0.43543956043956045,18.0,11.0
Poland,Spring,0.3999094202898551,14.0,15.0
Poland,Summer,0.5063405797101449,9.0,20.0
Poland,Winter,0.5120370370370371,18.0,11.0
Portugal,Autumn,0.7532051282051282,1.0,28.0
Portugal,Spring,0.8460144927536232,1.0,28.0
Portugal,Summer,0.42980072463768115,15.0,14.0
Portugal,Winter,0.9337962962962963,6.0,23.0
Romania,Autumn,0.5036630036630036,11.0,18.0
Romania,Spring,0.5366847826086957,8.0,21.0
Romania,Summer,0.561141304347826,6.0,23.0
Romania,Winter,0.5157407407407407,17.0,12.0
Slovakia,Autumn,0.41620879120879123,19.0,10.0
Slovakia,Spring,0.40443840579710144,13.0,16.0
Slovakia,Summer,0.5031702898550725,10.0,19.0
Slovakia,Winter,0.38472222222222224,26.0,3.0
Slovene,Autumn,0.47802197802197804,13.0,16.0
Slovene,Spring,0.40942028985507245,12.0,17.0
Slovene,Summer,0.5371376811594203,8.0,21.0
Slovene,Winter,0.5569444444444445,15.0,14.0
Spain,Autumn,0.5975274725274725,3.0,26.0
Spain,Spring,0.7441123188405797,3.0,26.0
Spain,Summer,0.6367753623188406,4.0,25.0
Spain,Winter,0.9518518518518518,4.0,25.0
Sweden,Autumn,0.2641941391941392,26.0,3.0
Sweden,Spring,0.22282608695652173,26.0,3.0
Sweden,Summer,0.1911231884057971,24.0,5.0
Sweden,Winter,0.4689814814814815,20.0,9.0
Switzerland,Autumn,0.4125457875457875,21.0,8.0
Switzerland,Spring,0.25905797101449274,24.0,5.0
Switzerland,Summer,0.3383152173913043,19.0,10.0
Switzerland,Winter,0.4638888888888889,21.0,8.0
